PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
11J,11J,12111J,FULTON,11J,3.0,63.0,FULTON,0.0,7.0,340.0,17.0,64.0,0.0,3.0,11J,0.0,73.0,0.0,FULTON,both
09F,09F,12109F,FULTON,09F,116.0,50.0,FULTON,3.0,9.0,127.0,31.0,694.0,1.0,228.0,09F,1.0,47.0,0.0,FULTON,both
08N2,08N2,12108N2,FULTON,08N2,32.0,21.0,FULTON,0.0,9.0,50.0,12.0,212.0,1.0,125.0,08N2,2.0,8.0,0.0,FULTON,both
08N1,08N1,12108N1,FULTON,08N1,18.0,4.0,FULTON,0.0,1.0,13.0,3.0,202.0,0.0,120.0,08N1,0.0,3.0,0.0,FULTON,both
08F1,08F1,12108F1,FULTON,08F1,50.0,17.0,FULTON,0.0,2.0,30.0,5.0,582.0,0.0,325.0,08F1,0.0,7.0,0.0,FULTON,both
08A,08A,12108A,FULTON,08A,40.0,44.0,FULTON,1.0,9.0,109.0,16.0,441.0,1.0,263.0,08A,3.0,21.0,0.0,FULTON,both
08D,08D,12108D,FULTON,08D,17.0,9.0,FULTON,0.0,4.0,13.0,5.0,271.0,0.0,154.0,08D,1.0,2.0,0.0,FULTON,both
03E,03E,12103E,FULTON,03E,17.0,67.0,FULTON,0.0,5.0,189.0,24.0,42.0,1.0,18.0,03E,1.0,56.0,0.0,FULTON,both
04J,04J,12104J,FULTON,04J,0.0,13.0,FULTON,0.0,1.0,33.0,4.0,3.0,0.0,2.0,04J,1.0,10.0,0.0,FULTON,both
03L,03L,12103L,FULTON,03L,0.0,11.0,FULTON,0.0,0.0,47.0,4.0,23.0,1.0,2.0,03L,0.0,20.0,0.0,FULTON,both
03M,03M,12103M,FULTON,03M,59.0,18.0,FULTON,0.0,3.0,32.0,11.0,54.0,0.0,29.0,03M,0.0,22.0,0.0,FULTON,both
03N,03N,12103N,FULTON,03N,10.0,43.0,FULTON,0.0,3.0,140.0,18.0,40.0,0.0,10.0,03N,2.0,45.0,0.0,FULTON,both
09G,09G,12109G,FULTON,09G,153.0,67.0,FULTON,0.0,5.0,151.0,28.0,207.0,0.0,98.0,09G,2.0,54.0,0.0,FULTON,both
09H,09H,12109H,FULTON,09H,47.0,19.0,FULTON,1.0,5.0,50.0,12.0,43.0,0.0,25.0,09H,1.0,30.0,0.0,FULTON,both
08M,08M,12108M,FULTON,08M,27.0,16.0,FULTON,2.0,6.0,26.0,2.0,397.0,2.0,197.0,08M,0.0,9.0,0.0,FULTON,both
07J,07J,12107J,FULTON,07J,95.0,27.0,FULTON,1.0,14.0,78.0,22.0,302.0,0.0,155.0,07J,4.0,27.0,0.0,FULTON,both
07H,07H,12107H,FULTON,07H,87.0,28.0,FULTON,0.0,7.0,38.0,7.0,363.0,0.0,212.0,07H,1.0,13.0,0.0,FULTON,both
